Qsort_Numb, Qsort_Time, Qsort_Iterations, Bubble_Numb, Bubble_Time, Bubble_Iterations, BinarySort_Time, BinarySort_Iterations, LinearSearch_Time, LinearSearch_Iterations
1000, 0.0001876s, 0, 1000, 0.0098598s, 0000000000000000, 7e-07s, 0000000000000000, 9e-07s, 500
2000, 0.0003673s, 0, 2000, 0.039809s, 0000000000000000, 8e-07s, 0000000000000000, 1.8e-06s, 1000
3000, 0.0006178s, 0, 3000, 0.090121s, 0000000000000000, 6e-07s, 0000000000000000, 2.6e-06s, 1500
4000, 0.0008293s, 0, 4000, 0.168604s, 0000000000000000, 9e-07s, 0000000000000000, 3.2e-06s, 2000
5000, 0.0012052s, 0, 5000, 0.261328s, 0000000000000000, 8e-07s, 0000000000000000, 4.2e-06s, 2500
6000, 0.0012824s, 0, 6000, 0.382131s, 0000000000000000, 8e-07s, 0000000000000000, 4.4e-06s, 3000
7000, 0.0017016s, 0, 7000, 0.489187s, 0000000000000000, 7e-07s, 0000000000000000, 5.4e-06s, 3500
8000, 0.0018708s, 0, 8000, 0.644274s, 0000000000000000, 9e-07s, 0000000000000000, 6e-06s, 4000
9000, 0.0021257s, 0, 9000, 0.810042s, 0000000000000000, 1.5e-06s, 0000000000000000, 1.12e-05s, 4500
10000, 0.0023617s, 0, 10000, 1.00724s, 0000000000000000, 1.2e-06s, 0000000000000000, 7.6e-06s, 5000
11000, 0.0025515s, 0, 11000, 1.21225s, 0000000000000000, 9e-07s, 0000000000000000, 8.4e-06s, 5500
12000, 0.0028862s, 0, 12000, 1.4278s, 0000000000000000, 8e-07s, 0000000000000000, 8.9e-06s, 6000
13000, 0.0030753s, 0, 13000, 1.6767s, 0000000000000000, 8e-07s, 0000000000000000, 9.7e-06s, 6500
14000, 0.0034479s, 0, 14000, 1.94815s, 0000000000000000, 1.1e-06s, 0000000000000000, 1.05e-05s, 7000
15000, 0.0035452s, 0, 15000, 2.24451s, 0000000000000000, 1.2e-06s, 0000000000000000, 1.15e-05s, 7500
16000, 0.0036862s, 0, 16000, 2.54511s, 0000000000000000, 8e-07s, 0000000000000000, 1.24e-05s, 8000
17000, 0.0043203s, 0, 17000, 2.86705s, 0000000000000000, 1e-06s, 0000000000000000, 1.27e-05s, 8500
18000, 0.0044507s, 0, 18000, 3.24892s, 0000000000000000, 9e-07s, 0000000000000000, 1.38e-05s, 9000
19000, 0.0048485s, 0, 19000, 3.61666s, 0000000000000000, 1.1e-06s, 0000000000000000, 1.44e-05s, 9500
20000, 0.0049065s, 0, 20000, 3.96419s, 0000000000000000, 9e-07s, 0000000000000000, 1.51e-05s, 10000
21000, 0.0053568s, 0, 21000, 4.37777s, 0000000000000000, 9e-07s, 0000000000000000, 1.59e-05s, 10500
22000, 0.0057378s, 0, 22000, 4.82073s, 0000000000000000, 8e-07s, 0000000000000000, 1.64e-05s, 11000
23000, 0.0063082s, 0, 23000, 5.27182s, 0000000000000000, 1.2e-06s, 0000000000000000, 1.73e-05s, 11500
24000, 0.0060384s, 0, 24000, 5.76689s, 0000000000000000, 1e-06s, 0000000000000000, 1.84e-05s, 12000
25000, 0.0065055s, 0, 25000, 6.22146s, 0000000000000000, 1.3e-06s, 0000000000000000, 1.93e-05s, 12500
26000, 0.0066496s, 0, 26000, 6.76528s, 0000000000000000, 9e-07s, 0000000000000000, 1.93e-05s, 13000
27000, 0.0068871s, 0, 27000, 7.259s, 0000000000000000, 1e-06s, 0000000000000000, 2.01e-05s, 13500
28000, 0.0072085s, 0, 28000, 7.81065s, 0000000000000000, 9e-07s, 0000000000000000, 2.07e-05s, 14000
29000, 0.0080834s, 0, 29000, 8.37566s, 0000000000000000, 1.3e-06s, 0000000000000000, 2.16e-05s, 14500
30000, 0.008103s, 0, 30000, 8.98595s, 0000000000000000, 9e-07s, 0000000000000000, 2.2e-05s, 15000
31000, 0.0084645s, 0, 31000, 9.57106s, 0000000000000000, 1e-06s, 0000000000000000, 2.32e-05s, 15500
32000, 0.0088939s, 0, 32000, 10.2114s, 0000000000000000, 9e-07s, 0000000000000000, 2.38e-05s, 16000
