, Copy-time, QS-ops, QS-time, BS-ops, BS-time, BSearch-ops, BSearch-time, LSearch-ops, LSearch-time
1000,0,5098, 0,256078, 2,10, 0,825, 0,
2000,0,11088, 0,988666, 9,11, 0,1142, 0,
3000,0,24498, 0,2222840, 22,12, 0,413, 0,
4000,0,30547, 0,4024904, 46,12, 0,1509, 0,
5000,0,34471, 0,6274361, 60,10, 0,862, 0,
6000,0,41671, 0,8979031, 86,11, 0,2175, 0,
7000,0,54012, 0,12390254, 118,13, 0,3277, 0,
8000,0,68961, 0,15948649, 154,13, 0,2753, 0,
9000,0,81474, 0,20281358, 197,6, 0,6608, 0,
10000,0,79795, 0,24906889, 243,11, 0,5101, 0,
11000,0,89035, 0,30060506, 298,13, 0,8378, 0,
12000,0,112341, 0,35706721, 348,13, 0,4057, 0,
13000,0,104235, 0,42168076, 416,13, 0,3322, 0,
14000,0,113879, 0,49030655, 474,14, 0,2300, 0,
15000,0,140531, 1,56238052, 548,13, 0,2731, 0,
16000,0,133802, 1,64191165, 615,14, 0,10290, 0,
17000,0,140258, 1,72241438, 700,14, 0,6401, 0,
18000,0,184842, 1,80209243, 790,13, 0,8130, 0,
19000,0,162724, 1,90431636, 878,15, 0,8559, 0,
20000,0,162072, 1,100130488, 985,13, 0,13746, 0,
21000,0,168411, 1,110517400, 1097,12, 0,4279, 0,
22000,0,176778, 1,121368163, 1181,11, 0,17626, 0,
23000,0,197479, 1,133136596, 1274,15, 0,6619, 0,
24000,0,207356, 1,143793375, 1390,14, 0,20457, 0,
25000,0,195654, 1,156311274, 1514,12, 0,18620, 0,
26000,0,247770, 1,168904659, 1645,14, 0,3341, 0,
27000,0,243220, 2,182432969, 1758,14, 0,23351, 0,
28000,0,255384, 2,196731176, 1926,14, 0,9652, 0,
29000,0,273642, 2,209989237, 2104,15, 0,10629, 0,
30000,0,306059, 2,225097386, 2213,15, 0,3227, 0,
31000,0,275861, 2,239937650, 2361,15, 0,22435, 0,
32000,0,281891, 2,256100784, 2503,15, 0,12398, 0,
